EO,dose,pval,padj
EO4444,0.1,0.7103729603729605,0.8047785547785549
EO4444,0.25,0.8047785547785549,0.8047785547785549
EO4444,0.5,0.45571095571095577,0.6835664335664337
EO4444,1,0.45571095571095577,0.6835664335664337
EO4444,2.5,0.45571095571095577,0.6835664335664337
EO4444,5,0.05303030303030303,0.3181818181818182
EO5714,0.1,0.8047785547785549,0.8047785547785549
EO5714,0.25,0.31759906759906764,0.47639860139860146
EO5714,0.5,0.25932400932400934,0.47639860139860146
EO5714,1,0.12820512820512822,0.3846153846153847
EO5714,2.5,0.45571095571095577,0.5468531468531469
EO5714,5,0.05303030303030303,0.3181818181818182
EO4899,0.1,0.23449883449883446,0.4689976689976689
EO4899,0.25,0.8784770784770783,0.8784770784770783
EO4899,0.5,0.08298368298368297,0.39114219114219106
EO4899,1,0.13038073038073036,0.39114219114219106
EO4899,2.5,0.32820512820512815,0.4923076923076922
EO4899,5,0.6453768453768453,0.7744522144522142
EO5068,0.1,0.5457013574660633,0.9072192513368983
EO5068,0.25,0.16149732620320856,0.8919786096256683
EO5068,0.5,0.6048128342245989,0.9072192513368983
EO5068,1,0.9314273961332784,0.9314273961332784
EO5068,2.5,0.9314273961332784,0.9314273961332784
EO5068,5,0.29732620320855613,0.8919786096256683
EO5663,0.1,0.9015151515151516,0.9015151515151516
EO5663,0.25,0.3828671328671329,0.9015151515151516
EO5663,0.5,0.9015151515151516,0.9015151515151516
EO5663,1,0.8047785547785549,0.9015151515151516
EO5663,2.5,0.7103729603729605,0.9015151515151516
EO5663,5,0.9015151515151516,0.9015151515151516
EO5749,0.1,0.8784770784770783,0.9591297591297594
EO5749,0.25,0.9591297591297594,0.9591297591297594
EO5749,0.5,0.959129759129759,0.9591297591297594
EO5749,1,0.959129759129759,0.9591297591297594
EO5749,2.5,0.6453768453768453,0.9591297591297594
EO5749,5,0.1605283605283605,0.9591297591297594
EO5763,0.1,0.48484848484848486,0.9818181818181818
EO5763,0.25,0.30952380952380953,0.9818181818181818
EO5763,0.5,0.6991341991341992,0.9818181818181818
EO5763,1,0.6991341991341992,0.9818181818181818
EO5763,2.5,0.8181818181818182,0.9818181818181818
EO5763,5,1,1
EO4309,0.1,1,1
EO4309,0.25,0.45571095571095577,0.8524475524475525
EO4309,0.5,0.7103729603729605,0.8524475524475525
EO4309,1,0.25932400932400934,0.8524475524475525
EO4309,2.5,0.7103729603729605,0.8524475524475525
EO4309,5,0.6200466200466201,0.8524475524475525
EO4891,0.1,0.5737373737373737,0.5737373737373737
EO4891,0.25,0.4418026418026417,0.5737373737373737
EO4891,0.5,0.08298368298368297,0.321056721056721
EO4891,1,0.5737373737373737,0.5737373737373737
EO4891,2.5,0.1605283605283605,0.321056721056721
EO4891,5,0.13038073038073036,0.321056721056721
